Barcode,Creditcard,TapAndGo,Asset_ID,Meter_ID,Location_Description,Latitude,Longitude,Location
MPM1898602,Yes,Yes,1898602,894A,"Victoria Parade between Powlett Street and Clarendon Street, approximately 5m NE of Winnett Specialist Group, 382 Victoria Parade, EAST MELBOURNE VIC 3002",-37.8094259,144.9844733,"-37.8094259, 144.9844733"
MPM1898606,Yes,Yes,1898606,350A,"Stanley Street between Railway Place and Adderley Street, approximately 3m SE of 232 Stanley Street, WEST MELBOURNE VIC 3003",-37.8102101,144.9456048,"-37.8102101, 144.9456048"
MPM1898612,Yes,Yes,1898612,ZOO21,Royal Park,-37.7818288,144.9529081,"-37.7818288, 144.9529081"
MPM1898620,Yes,Yes,1898620,ZOO7,"Royal Park, approximately 84m SW of Melbourne Zoological Gardens, 6 Elliott Avenue, PARKVILLE VIC 3052",-37.785996,144.9526703,"-37.785996, 144.9526703"
MPM1898624,Yes,Yes,1898624,ZOO17,"Royal Park, approximately 92m NE of Zoo Bakery, Kiosk 6, Melbourne Zoological Gardens, 6 Elliott Avenue, PARKVILLE VIC 3052",-37.7830122,144.9539618,"-37.7830122, 144.9539618"
MPM1898627,Yes,Yes,1898627,ZOO26,Royal Park,-37.7819862,144.9499307,"-37.7819862, 144.9499307"
MPM1898632,Yes,Yes,1898632,359A,"Spencer Street between Dudley Street and Rosslyn Street, approximately 3m SW of Creffield Digital Print, Ground 456-462 Spencer Street, WEST MELBOURNE VIC 3003",-37.8095673,144.9497616,"-37.8095673, 144.9497616"
MPM1898635,Yes,Yes,1898635,359B,"Spencer Street between Dudley Street and Rosslyn Street, approximately 9m SE of Triumph City, 463-465 Spencer Street, WEST MELBOURNE VIC 3003",-37.8097549,144.9495714,"-37.8097549, 144.9495714"
MPM1898636,Yes,Yes,1898636,350C,"Stanley Street between Railway Place and Adderley Street, approximately 5m South of 202-204 Stanley Street, WEST MELBOURNE VIC 3003",-37.8098296,144.9462315,"-37.8098296, 144.9462315"
MPM1898637,Yes,Yes,1898637,350D,"Stanley Street between Railway Place and Adderley Street, approximately 4m NW of Content Hustlers, 171-173 Stanley Street, WEST MELBOURNE VIC 3003",-37.8100147,144.9463761,"-37.8100147, 144.9463761"
MPM1898639,Yes,Yes,1898639,883B,"Simpson Street between Albert Street and Victoria Parade, approximately 27m North of Birches Serviced Apartments, 160-174 Simpson Street, EAST MELBOURNE VIC 3002",-37.8103993,144.9890124,"-37.8103993, 144.9890124"
MPM1898640,Yes,Yes,1898640,875D,"Clarendon Street between Gipps Street and Grey Street, approximately 24m North of Precision Haematology, Part Ground 140 Clarendon Street, EAST MELBOURNE VIC 3002",-37.8120457,144.983411,"-37.8120457, 144.983411"
MPM1898642,Yes,Yes,1898642,893B,"Victoria Parade between Simpson Street and Powlett Street, approximately 4m NE of 502 Victoria Parade, EAST MELBOURNE VIC 3002",-37.8098246,144.9881666,"-37.8098246, 144.9881666"
MPM1898646,Yes,Yes,1898646,877D,"Clarendon Street between George Street and Hotham Street, approximately 61m SW of Vizard Foundation House, 68-70 Clarendon Street, EAST MELBOURNE VIC 3002",-37.8147587,144.9826696,"-37.8147587, 144.9826696"
